text,label
そしたら、会えるかもしれないよ。,0
うん。,1
じゃあ、パークサイドグリルってところに行こうね。,0
うん。,1
そうだ、ユニバーサルスタジオで、今これ遊べるところ、見てこれ写真のところこのジェットコースターしか出てこなかったんだけど、ユニバーサルスタジオの外でどっかコーヒーカップとかに乗れるところ探してみる？,0
大阪の遊園地。,0
うん。あ～ジェットコースターは、うん。好きだけど、何かクルクル回らないジェットコースターなら乗れると思う。,1
あ、じゃあ、キャーって後ろ向きになったりするのは？嫌い？,0
そっか、そっか。じゃあ、もっと楽しそうなジェットコースターがある遊園地をちょっと見てみよっか？,0
うん。,1
遊園地好きなの？,0
うん。,1
そっか、そっか。じゃあ、遊園地あるところね。,0
見てみるね。,0
観覧車とか、好き。,1
あ、じゃあこれ見て見て。すごい大きな観覧車があるよ。うん。これ、どっちが好き？,0
上のほうあの、これ。,1
これか。じゃあ、なんて書いてますか名前は？,0
ヘップ。ん～。,1
これ、難しい？ヘップファイブ観覧車って書いてます。これ、どうして良さそうだった？,0
どこが好き？,0
何か、あの、景色がいっぱいにみえそうだから。,1
そうだよね。すごい高いところに行って景色見えそうだよね。うん。じゃあ1と2だったら１がいい？,0
うん。,1
うん、じゃあ。あ、レゴランドってのもあるよ。これこれ。積み木みたいなやつだけどレゴランド、これ知ってる？,0
うん。,1
前から3番目のあのーなんかやつが面白そう。,1
あ、これ？,0
うん。,1
これ、どうして楽しそう？面白そう？,0
うん。,1
どんなところがよかった？,0
なんか、動きそうだから。,1
そっか。じゃあ、この4番のとこと、1番だったらどっちがいい？,0
どっちもってのもいいよ。,0
うーん。下のほう。,1
4番のほうがいっか。,0
うん。,1
うん、じゃあ、4番このレゴランドディスカバリーセンター大阪に行きましょね。,0
あと、したの5番のほうのやつ、面白そう。,1
あ、どうして？5番。,0
あの、何か赤いキャラクターは何か知らないけど、かっこいい。,1
そっか。これも実はユニバーサルスタジオにあるやつだね。,0
これ、見よっか、じゃあ。,0
うん。,1
アメージングアドベンチャーオブスパイダーマンザライド。じゃあ、これ見ましょうね。,0
うん。,1
じゃあ、これUSJ、ユニバーサルスタジオに行ったときに見ましょう。,0
うん。,1
じゃあね、見て見て。6番と7番。あ、7番はちょっとこれ、怖いやつかな。怖いやつだよね？,0
じゃあ、6番は？,0
6番は～、よく分かんないけど。わかんないね～。飛行機みたいなのが見える。,1
飛行機みたいなのが見えるよね。うん。これはね、自分がのるやつじゃなくて、周りからみるやつ。周りから見るのだとあんまりつまんなさそう？楽しそう？どっちかな。,0
楽しそうな感じする。,1
楽しそう？じゃあ、これも見て見る。,0
うん。,1
じゃあ、このウォーターワールドも行ってみようか。,0
うん。,1
これもユニバーサルスタジオの中だね。うん、じゃあねあとまだあるよ。7番怖いんだよね？,0
何か下のほう、8番のやつ。,1
8番。そうして8番楽しそう？,0
なんか、みんな乗るジェットコースターで、うん。何か恐竜みたいなのあるけど。,1
恐竜いるね。,0
何かそういうのも楽しそう。,1
ふーん。楽しそうだよね。恐竜とか好きだから、うん。何か、面白そう。見て見て、何かちょっと怖い感じするけど。うん。,0
真ん中の写真怖そうだよ。,0
うん。,1
大丈夫？こんな怖そうでも。,0
うん。,1
そっか、そっか。このジュラシックパークザライドってのにも行ってみる？,0
うん。,1
これもね、ユニバーサルスタジオの中にこれ見て見て、あるよ。,0
うん。,1
じゃあこのジュラシックパークザライドに行ってみましょう。,0
じゃあ、見てまだまだたくさんあるよ。楽しそうなとこ。,0
何か9番のやつってなんだろうって思った。,1
あ、9番はね、これはね、シュレックって映画があって、それをね、映画を観ましょうこ、これ４Dって書いてるけど、映画ってすごく遠くのほうに何か写ってる感じだけどこれ飛び出てくるような感じがするんだよ。,0
うん。,1
これ、ど？眼鏡つけてみるやつみたいな？あ、そうそうそう。それそれ。それ、好き？,0
うん。,1
どう、じゃあ、このシュレック4Dアドベンチャーを見に行く？,0
うん。,1
じゃあ、これも行くところにしようか。,0
うん。,1
うん、じゃあね、これも行くところに加えますね。はい、あー10番。みて？10番は？,0
何か10番は、面白そうな感じ.。面白そう？,1
10番どんなところが面白そう？,0
何か、船みたいなので乗ってるから、うん。そういうのが面白そう。,1
そっか。じゃあ、この船に乗ってるジョーズっての見に行く？でも、これ怖いよ。ジョーズってサメさんがわーって襲ってくるんだよ。,0
いや～それ。ジェットコースターじゃないなら面白そう。,1
ジェットコースターじゃないらいいか。じゃあ、このジョーズっていうの見に行く？,0
うん。,1
これも行こうか。じゃあ、ジョーズも見ましょう。今ね、1，2，3，4，5個ユニバーサルスタジオの中で見て、そしてお食事するところもユニバーサルスタジオで決まってて、あとレゴランドも行くって決めてるよね。一応まだまだ見れるとこあるから、もっとちょっと見て見ようか？,0
うん。,1
写真いっぱい見たいよね。楽しいよね。,0
あ、みて、どう。11番と12番。,0
何か11番の前から3番のやつが面白そう。,1
これ、ジェットコースターだよ、でも。ジェットコースター怖いかもよ。クルクル回ってるよこれ。,0
何か、その隣のスヌーピーのやつが面白そう。,1
スヌーピーのやつ。楽しそうだね、これ。このスヌーピーさんの背中に乗るやつだね。,0
うん。,1
この、スヌーピーさんの背中に乗るのと、12番は？,0
12番の前から2番のやつが面白そう。,1
じゃあ、１１と１２だったらどっちがいい？,0
う～ん。11。,1
11。じゃあ、11のほうに行こうか。,0
うん。,1
それか、まだまだあるよ。13とか14もあるよ。,0
なんか、この14番のやつ怖そう。,1
怖そう。じゃあ、これは見に行かなくてもいいかな？,0
いや、でも、何か面白そうな感じ、何か面白そう？,1
じゃあ、14と11だったらどっちがいい？,0
んー。14がいい。,1
14がいいの。どうして？11これスヌーピーさんの背中に乗るの楽しそうだよ。,0
14番のほうが怖そう。,1
怖そう？じゃあ14のほうがいいかな？,0
うん。,1
じゃあ、14ね。じゃあ、14と１５だとどっちがいい？,0
ん。,1
15、15、15。これ。あーなんか。,0
14番より15番のほうが面白そうな感じする。,1
どうして？,0
だって炎みたいな感じ。,1
これ、行ったらわーって炎が来るかもしれないよ？,0
でも、好きな感じする。,1
じゃあ、15見に行く？,0
うん。,1
15行こうか。バックドラフトってところね。,0
うん。,1
じゃあ、17は苦手なやつだっけ？,0
うん。,1
じゃあ、どう18は？,0
やだ。,1
もっと怖そうだよね。どう、１８みてどう思った？,0
なんか、前から2番のやつ、髪の毛が。髪の毛？何か。そうだね。結構、怖そう。,1
髪の毛見ると、これすごく怖そうだよね。,0
うん。,1
じゃあ、17と18はやめておこうか。,0
うん。,1
うーん、じゃあ19は？,0
なんか、ジェットコースターでもなんかすごい、いいかもしれない、これだったら。,1
どうして？これジェットコースターぐるぐる回るかもしれないよ。,0
やだ、やだ。やっぱりやだ。,1
ははははは。この18みたいになるかもしれないよね。そしたら怖いよね。,0
やだ。,1
やめとこっか？,0
うん。,1
じゃあね次のページも見ようね。次のページ最後だけど5つあります。あ、ミニオン出ました。,0
おー。やっぱ、これが好き。,1
これがいい？,0
うん。なんか、前から2番のやつが面白そう。,1
あかわる。これ、かわいいよね。,0
うん。,1
何やってるんだろう。ちょっと待ってね、これで見て見ようね。,0
いつもテレビでこういうミニオンのやつとか見てるから。,1
あ、そうなんだ。これね、グルーが発明した特別な車に乗っていろんなものを見ていくんだって。これどう、じゃあ、ミニオンはちゃめちゃライド乗ってみたい？,0
うん。,1
じゃあ、待ってね。このミニオンはちゃめちゃライドってのに乗ることにした場合に、さっきさ、炎が出てるやつに乗るって決めたでしょ。,0
うん。,1
それと、これに乗ったら今、すごくたくさんあるのね。,0
うん。,1
だから、1ページ目の中で今さっきさ、みてみて。今さっき5番と6番両方見たいって言ったんだけど、どっちか減らそうか？,0
ん～～～。,1
だって、時間そんなたくさんないから。,0
一番行きたいのミニオンだな。,1
ミニオンか。,0
じゃあ、2つ消したい。,1
２つ消していい？,0
うん。,1
うん、じゃあこの2つは消すね。うん。,0
じゃあね、これはどうする？これは楽しそうかな？この8と9。,0
これだったらいい。,1
これだったらいい。8と9だったらどっち行きたい？今さっきね話したのが8と9と10全部行きたいって話してたのね。,0
うん。やっぱ、8。,1
8か。じゃあ9は？8、8。,0
8と21のほうがいい。,1
8と、21はミニオンか。,0
うん。,1
そっか。じゃあ、8は残して、この8番のジュラシックパークザライドは残して、９番は行かなくていい？,0
うん。,1
そっか、じゃあ。その下、ジョーズはどうする？,0
いい。,1
いい？うん。どうして？,0
ミニオンといっぱい遊びたい？,0
やっぱ、これ嫌だ。,1
やっぱ嫌だ？どうして？,0
怖い。,1
怖い？そっか、じゃあこれ行くのやめようか。,0
うん。,1
うん、じゃあ、行くのはこの8番のジュラシックパークザライド、うん、と、ちょっと待ってね、次のページの15番のバックドラフトとあと、ユニバーサルスタジオで何見るんだっけ？,0
見たいの。,0
ミニオン。,1
そう。みて、これ21番ミニオン。これ見るんだよね。,0
うん。,1
そして、ご飯はパークサイドグリルって言うところで食べるってことでいいかな？,0
うん。で、23番ってところってどういう。23番。,1
モンスターライブって言って、フランケンシュタインとかドラキュラとかモンスターがダンスをして踊ってくれるところ。,0
どうする？これも行きたい？,0
行きたい。,1
うん、じゃあそうしようか。じゃあ、これも行くってことにするね。,0
うん。,1
じゃあ、今日行くって決めたところを、もう一回おさらいするね。,0
うん。,1
えっとね、ジュラシックパークザライドと、バックドラフトと、ミニオンはちゃめちゃライド、うん、と、このユニバーサルモンスターライブロックンロールショーとあと、パークサイドグリルってところでご飯を食べるのと。,0
うん。,1
あと、レゴランドディスカバリーセンター大阪に行くってことでいいかな？,0
うん。,1
じゃあね、今日大阪のユニバーサルスタジオとかに行く観光案内は以上になります。はい、ご利用いただきましてありがとうございました。,0
それでは失礼します。,0
